smiles,logP,mol,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,num_of_S_atoms,num_of_Cl_atoms,num_of_P_atoms,num_of_F_atoms,num_of_I_atoms,num_of_Br_atoms,num_of_atoms,tpsa,mol_w,num_valence_electrons,num_heteroatoms,num_H_donors,num_H_acceptors
COSC=S,0.9,<rdkit.Chem.rdchem.Mol object at 0x14099c520>,2,1,0,2,0,0,0,0,0,9,9.23,107.970356748,30,3,0,3
C1[CH]C1I,2.1,<rdkit.Chem.rdchem.Mol object at 0x14099c460>,3,0,0,0,0,0,0,1,0,8,0.0,166.935773128,23,1,0,0
CN([CH2])C=S,0.3,<rdkit.Chem.rdchem.Mol object at 0x14099c340>,3,0,1,1,0,0,0,0,0,11,3.24,88.022095192,29,2,0,1
CN=CNCl,0.1,<rdkit.Chem.rdchem.Mol object at 0x14099c400>,2,0,2,0,1,0,0,0,0,10,24.39,92.01412583999999,30,3,1,1
[CH-]1PC=[PH+]1,-1.3,<rdkit.Chem.rdchem.Mol object at 0x14099c3a0>,2,0,0,0,0,2,0,0,0,8,0.0,89.978823388,22,2,0,0
CC[CH]CCCN,2.1,<rdkit.Chem.rdchem.Mol object at 0x14099c2e0>,6,0,1,0,0,0,0,0,0,21,26.02,100.11262444799999,43,1,1,1
C1=[NH+]N=CP1,-0.4,<rdkit.Chem.rdchem.Mol object at 0x14099c1c0>,2,0,2,0,0,1,0,0,0,9,27.03,87.01066117809,26,3,0,1
CC[C@@H](CS)N,0.5,<rdkit.Chem.rdchem.Mol object at 0x14099c280>,4,0,1,1,0,0,0,0,0,17,26.02,105.06122035199999,38,2,2,2
CCC(CI)I,3.6,<rdkit.Chem.rdchem.Mol object at 0x14099c220>,4,0,0,0,0,0,0,2,0,14,0.0,309.8715462560002,38,2,0,0
CCCC(C)[CH]C,3.7,<rdkit.Chem.rdchem.Mol object at 0x14099c160>,7,0,0,0,0,0,0,0,0,22,0.0,99.11737547999999,43,0,0,0
C(CO)CSCI,1.3,<rdkit.Chem.rdchem.Mol object at 0x14099c100>,4,1,0,1,0,0,0,1,0,16,20.23,231.941883908,44,3,1,2
CCC(C)POC,1.3,<rdkit.Chem.rdchem.Mol object at 0x14099c0a0>,5,1,0,0,0,1,0,0,0,20,9.23,120.070401666,44,2,0,1
C(COCCF)O,-0.3,<rdkit.Chem.rdchem.Mol object at 0x14099c040>,4,2,0,0,0,0,1,0,0,16,29.46,108.058657748,44,3,1,2
C1CN1I,0.4,<rdkit.Chem.rdchem.Mol object at 0x140994040>,2,0,1,0,0,0,0,1,0,8,3.01,168.938847128,24,2,0,1
CC(C)C[C]=O,1.0,<rdkit.Chem.rdchem.Mol object at 0x1409940a0>,5,1,0,0,0,0,0,0,0,15,17.07,85.065339908,35,1,0,1
CCC(CO)F,0.8,<rdkit.Chem.rdchem.Mol object at 0x140994100>,4,1,0,0,0,0,1,0,0,15,20.23,92.063743128,38,2,1,1
C([C@@H](CS)N)N,-1.3,<rdkit.Chem.rdchem.Mol object at 0x140994160>,3,0,2,1,0,0,0,0,0,16,52.04,106.05646931999999,38,3,3,3
CC(C)COCO,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409941c0>,5,2,0,0,0,0,0,0,0,19,29.46,104.083729624,44,2,1,2
C1CS[CH]S1,1.4,<rdkit.Chem.rdchem.Mol object at 0x140994220>,3,0,0,2,0,0,0,0,0,10,0.0,104.98326716,29,2,0,2
CNCNCNC,-0.9,<rdkit.Chem.rdchem.Mol object at 0x140994280>,4,0,3,0,0,0,0,0,0,20,36.089999999999996,103.11094741599999,44,3,3,3
[2H]C(P)(P)Cl,0.4,<rdkit.Chem.rdchem.Mol object at 0x1409942e0>,1,0,0,0,1,2,0,0,0,9,0.0,114.96177784599999,26,3,0,0
C(F)(F)[S]=O,1.4,<rdkit.Chem.rdchem.Mol object at 0x140994340>,1,1,0,1,0,0,2,0,0,6,17.07,98.971617092,31,4,0,1
[CH2]CC(CO)O,-0.2,<rdkit.Chem.rdchem.Mol object at 0x1409943a0>,4,2,0,0,0,0,0,0,0,15,40.46,89.060254528,37,2,2,2
CC(N)NNNC,-1.1,<rdkit.Chem.rdchem.Mol object at 0x140994400>,3,0,4,0,0,0,0,0,0,19,62.11,104.10619638399999,44,4,4,4
[CH]1NOSN1,-0.1,<rdkit.Chem.rdchem.Mol object at 0x140994460>,1,1,2,1,0,0,0,0,0,8,33.29,90.996608716,29,4,2,4
CONCCF,0.2,<rdkit.Chem.rdchem.Mol object at 0x1409944c0>,3,1,1,0,0,0,1,0,0,14,21.259999999999998,93.058992096,38,3,1,2
COCC(O)O,-1.1,<rdkit.Chem.rdchem.Mol object at 0x140994520>,3,3,0,0,0,0,0,0,0,14,49.69,92.047344116,38,3,2,3
[2H]C([2H])(CCl)O,-0.1,<rdkit.Chem.rdchem.Mol object at 0x140994580>,2,1,0,0,1,0,0,0,0,9,20.23,82.015445952,26,2,1,1
CCNCC(O)O,-1.0,<rdkit.Chem.rdchem.Mol object at 0x1409945e0>,4,2,1,0,0,0,0,0,0,18,52.489999999999995,105.078978592,44,3,3,3
CCC(CCl)N,0.8,<rdkit.Chem.rdchem.Mol object at 0x140994640>,4,0,1,0,1,0,0,0,0,16,26.02,107.05017699999999,38,2,1,1
C(CN=N)CI,2.3,<rdkit.Chem.rdchem.Mol object at 0x1409946a0>,3,0,2,0,0,0,0,1,0,13,36.21,197.965396224,36,3,1,2
[2H]C([2H])(CO)Cl,-0.1,<rdkit.Chem.rdchem.Mol object at 0x140994700>,2,1,0,0,1,0,0,0,0,9,20.23,82.015445952,26,2,1,1
CCSSP,1.1,<rdkit.Chem.rdchem.Mol object at 0x140994760>,2,0,0,2,0,1,0,0,0,12,0.0,125.972678854,32,3,0,2
CC(C)[C@H](N)O,0.1,<rdkit.Chem.rdchem.Mol object at 0x1409947c0>,4,1,1,0,0,0,0,0,0,17,46.25,89.084063972,38,2,2,2
CCCCC(I)I,4.1,<rdkit.Chem.rdchem.Mol object at 0x140994820>,5,0,0,0,0,0,0,2,0,17,0.0,323.88719632000027,44,2,0,0
CC[C@@H](COC)O,0.4,<rdkit.Chem.rdchem.Mol object at 0x140994880>,5,2,0,0,0,0,0,0,0,19,29.46,104.083729624,44,2,1,2
C1CS[N]S1,0.4,<rdkit.Chem.rdchem.Mol object at 0x1409948e0>,2,0,1,2,0,0,0,0,0,9,14.100000000000001,105.978516128,29,3,0,2
C(COCBr)CCl,1.9,<rdkit.Chem.rdchem.Mol object at 0x140994940>,4,1,0,0,1,0,0,0,1,15,9.23,185.944704656,44,3,0,1
C(N)OCI,0.0,<rdkit.Chem.rdchem.Mol object at 0x1409949a0>,2,1,1,0,0,0,0,1,0,11,35.25,186.949411812,32,3,1,2
C[S+](C)Cl,1.7,<rdkit.Chem.rdchem.Mol object at 0x140994a00>,2,0,0,1,1,0,0,0,0,10,0.0,96.98732529208999,26,2,0,0
CCCNCCC,1.7,<rdkit.Chem.rdchem.Mol object at 0x140994a60>,6,0,1,0,0,0,0,0,0,22,12.03,101.12044947999999,44,1,1,1
CNOCC[NH],-1.1,<rdkit.Chem.rdchem.Mol object at 0x140994ac0>,3,1,2,0,0,0,0,0,0,15,45.06,89.071487908,37,3,1,2
C=C(I)I,2.6,<rdkit.Chem.rdchem.Mol object at 0x140994b20>,2,0,0,0,0,0,0,2,0,6,0.0,279.82459606400005,24,2,0,0
C(CS)NI,0.4,<rdkit.Chem.rdchem.Mol object at 0x140994b80>,2,0,1,1,0,0,0,1,0,11,12.03,202.926568192,32,3,2,2
CC(CCCl)CBr,2.7,<rdkit.Chem.rdchem.Mol object at 0x140994be0>,5,0,0,0,1,0,0,0,1,17,0.0,183.9654401,44,2,0,0
[2H]C([2H])(Cl)Cl,1.5,<rdkit.Chem.rdchem.Mol object at 0x140994c40>,1,0,0,0,2,0,0,0,0,5,0.0,85.96590891599999,20,2,0,0
CC1CC[CH+]C1,3.4,<rdkit.Chem.rdchem.Mol object at 0x140994ca0>,6,0,0,0,0,0,0,0,0,17,0.0,83.08552677208999,34,0,0,0
CCSC(N)[O-],1.0,<rdkit.Chem.rdchem.Mol object at 0x140994d00>,3,1,1,1,0,0,0,0,0,14,49.08,106.03320845591,38,3,1,3
C/C=C/SS,1.7,<rdkit.Chem.rdchem.Mol object at 0x140994d60>,3,0,0,2,0,0,0,0,0,11,0.0,105.991092192,30,2,1,2
C1=C[C-](C=C1)I,2.4,<rdkit.Chem.rdchem.Mol object at 0x140994dc0>,5,0,0,0,0,0,0,1,0,10,0.0,190.93632170791,32,1,0,0
CN([CH2-])COC,0.2,<rdkit.Chem.rdchem.Mol object at 0x140994e20>,4,1,1,0,0,0,0,0,0,16,12.47,88.07678751991,38,2,0,2
CSCCOP,0.6,<rdkit.Chem.rdchem.Mol object at 0x140994e80>,3,1,0,1,0,1,0,0,0,15,9.23,124.011172538,38,3,0,2
[CH2+]CCCCCS[O-],2.2,<rdkit.Chem.rdchem.Mol object at 0x140994ee0>,6,1,0,1,0,0,0,0,0,20,23.06,132.060886004,48,2,0,2
C(C(Br)Br)SS,2.6,<rdkit.Chem.rdchem.Mol object at 0x140994f40>,2,0,0,2,0,0,0,0,2,10,0.0,249.812116328,38,4,1,2
[2H]C([3H])OCCOCCO,-0.9,<rdkit.Chem.rdchem.Mol object at 0x140994fa0>,5,3,0,0,0,0,0,0,0,20,38.69,123.093145236,50,3,1,3
C=CC(S)Cl,1.9,<rdkit.Chem.rdchem.Mol object at 0x140995000>,3,0,0,1,1,0,0,0,0,10,0.0,107.98004884,30,2,1,1
C1CP[P-]C1,-0.1,<rdkit.Chem.rdchem.Mol object at 0x140995060>,3,0,0,0,0,2,0,0,0,12,0.0,105.00284706391,30,2,0,0
[3H]N(C)I,0.1,<rdkit.Chem.rdchem.Mol object at 0x1409950c0>,1,0,1,0,0,0,0,1,0,7,12.03,158.947071374,20,2,1,1
C[C@H]([C@H](C)I)Cl,2.8,<rdkit.Chem.rdchem.Mol object at 0x140995120>,4,0,0,0,1,0,0,1,0,14,0.0,217.935925936,38,2,0,0
[CH2+]OCCOCCO,-0.9,<rdkit.Chem.rdchem.Mol object at 0x140995180>,5,3,0,0,0,0,0,0,0,19,38.69,119.07027063209,48,3,1,3
CCOP(C)F,0.9,<rdkit.Chem.rdchem.Mol object at 0x1409951e0>,3,1,0,0,0,1,1,0,0,14,9.23,110.029679726,38,3,0,1
CC(C)(C)[P-]C,0.9,<rdkit.Chem.rdchem.Mol object at 0x140995240>,5,0,0,0,0,1,0,0,0,18,0.0,103.06821059391,38,1,0,0
CCCNNNN,-0.5,<rdkit.Chem.rdchem.Mol object at 0x1409952a0>,3,0,4,0,0,0,0,0,0,19,62.11,104.10619638399999,44,4,4,4
[CH2]CCBr,2.1,<rdkit.Chem.rdchem.Mol object at 0x140995300>,3,0,0,0,0,0,0,0,1,10,0.0,120.965287292,25,1,0,0
C(O)(O)Cl,-0.3,<rdkit.Chem.rdchem.Mol object at 0x140995360>,1,2,0,0,1,0,0,0,0,7,40.46,81.982157016,26,3,2,2
[2H]C(OC)Br,0.9,<rdkit.Chem.rdchem.Mol object at 0x1409953c0>,2,1,0,0,0,0,0,0,1,9,9.23,124.958653626,26,2,0,1
[2H]C1=NC=CC=N1,-0.4,<rdkit.Chem.rdchem.Mol object at 0x140995420>,4,0,2,0,0,0,0,0,0,10,25.78,81.04372487399999,30,2,0,2
CCCOCCO,0.5,<rdkit.Chem.rdchem.Mol object at 0x140995480>,5,2,0,0,0,0,0,0,0,19,29.46,104.083729624,44,2,1,2
C[C]1CC[CH+]C1,3.4,<rdkit.Chem.rdchem.Mol object at 0x1409954e0>,6,0,0,0,0,0,0,0,0,16,0.0,82.07770174008999,33,0,0,0
CC(S)SI,2.5,<rdkit.Chem.rdchem.Mol object at 0x140995540>,2,0,0,2,0,0,0,1,0,10,0.0,219.88774016,32,3,1,2
C[C@@H](COC)Br,1.3,<rdkit.Chem.rdchem.Mol object at 0x1409955a0>,4,1,0,0,0,0,0,0,1,15,9.23,151.983677008,38,2,0,1
C=CC(F)I,2.0,<rdkit.Chem.rdchem.Mol object at 0x140995600>,3,0,0,0,0,0,1,1,0,9,0.0,185.934176348,30,2,0,0
C=CCOI,1.6,<rdkit.Chem.rdchem.Mol object at 0x140995660>,3,1,0,0,0,0,0,1,0,10,9.23,183.93851278,30,2,0,1
C(=[PH2+])C=[PH2+],-1.9,<rdkit.Chem.rdchem.Mol object at 0x1409956c0>,2,0,0,0,0,2,0,0,0,10,0.0,91.99337629217999,22,2,0,0
CCCCC[NH2+][O-],1.0,<rdkit.Chem.rdchem.Mol object at 0x140995720>,5,1,1,0,0,0,0,0,0,20,39.67,103.099714036,44,2,1,1
CCC[C@H](CO)Cl,1.5,<rdkit.Chem.rdchem.Mol object at 0x140995780>,5,1,0,0,1,0,0,0,0,18,20.23,122.049842652,44,2,1,1
C[C@H](F)Br,1.9,<rdkit.Chem.rdchem.Mol object at 0x1409957e0>,2,0,0,0,0,0,1,0,1,8,0.0,125.948040448,26,2,0,0
CCCN(C)N,0.4,<rdkit.Chem.rdchem.Mol object at 0x140995840>,4,0,2,0,0,0,0,0,0,18,29.259999999999998,88.10004838399999,38,2,1,2
CCPSC,0.7,<rdkit.Chem.rdchem.Mol object at 0x1409958a0>,3,0,0,1,0,1,0,0,0,14,0.0,108.016257918,32,2,0,1
C[N+](C)(C)[14CH2]I,1.0,<rdkit.Chem.rdchem.Mol object at 0x140995900>,4,0,1,0,0,0,0,1,0,17,0.0,201.99631576208998,38,2,0,0
C([O])(Br)Br,1.3,<rdkit.Chem.rdchem.Mol object at 0x140995960>,1,1,0,0,0,0,0,0,2,5,19.9,186.839413852,25,3,0,0
CC(F)SC,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409959c0>,3,0,0,1,0,0,1,0,0,12,0.0,94.025249444,32,2,0,1
CCNC(C)P,0.3,<rdkit.Chem.rdchem.Mol object at 0x140995a20>,4,0,1,0,0,1,0,0,0,18,12.03,105.07073601399999,38,2,1,1
CCS[CH]C,1.9,<rdkit.Chem.rdchem.Mol object at 0x140995a80>,4,0,0,1,0,0,0,0,0,14,0.0,89.042496288,31,1,0,1
C(C(N)Br)N,-0.7,<rdkit.Chem.rdchem.Mol object at 0x140995ae0>,2,0,2,0,0,0,0,0,1,12,52.04,137.979260324,32,3,2,2
CCCCNOCC,1.5,<rdkit.Chem.rdchem.Mol object at 0x140995b40>,6,1,1,0,0,0,0,0,0,23,21.259999999999998,117.1153641,50,2,1,2
CCC(N)NN,-0.8,<rdkit.Chem.rdchem.Mol object at 0x140995ba0>,3,0,3,0,0,0,0,0,0,17,64.07,89.09529735199999,38,3,3,3
C(C(F)F)ON,0.2,<rdkit.Chem.rdchem.Mol object at 0x140995c00>,2,1,1,0,0,0,2,0,0,11,35.25,97.03392022,38,4,1,2
C[CH]COSC,1.4,<rdkit.Chem.rdchem.Mol object at 0x140995c60>,4,1,0,1,0,0,0,0,0,15,9.23,105.037410908,37,2,0,2
CSCCC[S-],1.5,<rdkit.Chem.rdchem.Mol object at 0x140995cc0>,4,0,0,2,0,0,0,0,0,15,0.0,121.01511586791,38,2,0,2
C(F)(S)(Cl)Cl,2.2,<rdkit.Chem.rdchem.Mol object at 0x140995d20>,1,0,0,1,2,0,1,0,0,6,0.0,133.916004612,32,4,1,1
C(O)PP,-0.8,<rdkit.Chem.rdchem.Mol object at 0x140995d80>,1,1,0,0,0,2,0,0,0,10,20.23,95.989388072,26,3,1,1
CCC(C)C[NH+][CH2-],1.5,<rdkit.Chem.rdchem.Mol object at 0x140995de0>,6,0,1,0,0,0,0,0,0,21,15.600000000000001,100.11262444799999,43,1,1,1
C(CBr)[C@@H](CBr)Br,2.9,<rdkit.Chem.rdchem.Mol object at 0x140995e40>,4,0,0,0,0,0,0,0,3,14,0.0,291.8097865240002,44,3,0,0
C[I+]C[IH+],2.9,<rdkit.Chem.rdchem.Mol object at 0x140995ea0>,2,0,0,0,0,0,0,2,0,10,0.0,283.85479903218015,26,2,0,0
CN[I-]I,1.0,<rdkit.Chem.rdchem.Mol object at 0x140995f00>,1,0,1,0,0,0,0,2,0,8,12.03,283.84386870791013,28,3,1,1
C(CCOP)CO,0.0,<rdkit.Chem.rdchem.Mol object at 0x140995f60>,4,2,0,0,0,1,0,0,0,18,29.46,122.049666222,44,3,1,2
[CH2]CC(CCl)Cl,2.4,<rdkit.Chem.rdchem.Mol object at 0x140995fc0>,4,0,0,0,2,0,0,0,0,13,0.0,124.99248058399999,37,2,0,0
CCCI(C)O,2.2,<rdkit.Chem.rdchem.Mol object at 0x140996020>,4,1,0,0,0,0,0,1,0,17,20.23,201.985462972,40,2,1,1
C(COCCl)CCl,1.7,<rdkit.Chem.rdchem.Mol object at 0x140996080>,4,1,0,0,2,0,0,0,0,15,9.23,141.995220236,44,3,0,1
CCN(C)CC,1.0,<rdkit.Chem.rdchem.Mol object at 0x1409960e0>,5,0,1,0,0,0,0,0,0,19,3.24,87.10479941599999,38,1,0,1
CCC(N)SCC,1.4,<rdkit.Chem.rdchem.Mol object at 0x140996140>,5,0,1,1,0,0,0,0,0,20,26.02,119.07687041599999,44,2,1,2
C[C@H](COI)O,0.7,<rdkit.Chem.rdchem.Mol object at 0x1409961a0>,3,2,0,0,0,0,0,1,0,13,29.46,201.949077464,38,3,1,2
CCCCS[S-],2.2,<rdkit.Chem.rdchem.Mol object at 0x140996200>,4,0,0,2,0,0,0,0,0,15,0.0,121.01511586791,38,2,0,2
CCC(C[18F])O,0.8,<rdkit.Chem.rdchem.Mol object at 0x140996260>,4,1,0,0,0,0,1,0,0,15,20.23,91.066277908,38,2,1,1
C(OPO)Cl,0.2,<rdkit.Chem.rdchem.Mol object at 0x1409962c0>,1,2,0,0,1,1,0,0,0,9,29.46,113.963743678,32,4,1,2
C(F)SO,0.4,<rdkit.Chem.rdchem.Mol object at 0x140996320>,1,1,0,1,0,0,1,0,0,7,20.23,81.988863936,26,3,1,2
C(CCOO)CO,-0.4,<rdkit.Chem.rdchem.Mol object at 0x140996380>,4,3,0,0,0,0,0,0,0,17,49.69,106.06299418,44,3,2,3
C(CCCBr)CCF,2.8,<rdkit.Chem.rdchem.Mol object at 0x1409963e0>,6,0,0,0,0,0,1,0,1,20,0.0,182.010640704,50,2,0,0
CC(OC)S,0.9,<rdkit.Chem.rdchem.Mol object at 0x140996440>,3,1,0,1,0,0,0,0,0,13,9.23,92.029585876,32,2,1,2
C(CPCl)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x1409964a0>,2,1,0,0,1,1,0,0,0,11,20.23,111.984479122,32,3,1,1
C[C@@H](CO)OS,0.3,<rdkit.Chem.rdchem.Mol object at 0x140996500>,3,2,0,1,0,0,0,0,0,14,29.46,108.024500496,38,3,2,3
CCC(C)NN,0.4,<rdkit.Chem.rdchem.Mol object at 0x140996560>,4,0,2,0,0,0,0,0,0,18,38.05,88.10004838399999,38,2,2,2
COOCCCBr,1.2,<rdkit.Chem.rdchem.Mol object at 0x1409965c0>,4,2,0,0,0,0,0,0,1,16,18.46,167.978591628,44,3,0,2
[3H]C(CC)CC([3H])CC,4.4,<rdkit.Chem.rdchem.Mol object at 0x140996620>,7,0,0,0,0,0,0,0,0,23,0.0,104.14164900399999,44,0,0,0
CC(C([CH2])Br)Br,2.6,<rdkit.Chem.rdchem.Mol object at 0x140996680>,4,0,0,0,0,0,0,0,2,13,0.0,212.891449424,37,2,0,0
CN[I-]C,0.6,<rdkit.Chem.rdchem.Mol object at 0x1409966e0>,2,0,1,0,0,0,0,1,0,11,12.03,171.96287080391,28,2,1,1
C(C(F)F)Cl,1.7,<rdkit.Chem.rdchem.Mol object at 0x140996740>,2,0,0,0,1,0,2,0,0,8,0.0,99.989134216,32,3,0,0
CCCCNNI,1.2,<rdkit.Chem.rdchem.Mol object at 0x1409967a0>,4,0,2,0,0,0,0,1,0,18,24.06,213.996696352,44,3,2,2
CP(P)Br,0.8,<rdkit.Chem.rdchem.Mol object at 0x140996800>,1,0,0,0,0,2,0,0,1,9,0.0,157.90498552,26,3,0,0
C([C@H](C[SH2+])O)O,-0.8,<rdkit.Chem.rdchem.Mol object at 0x140996860>,3,2,0,1,0,0,0,0,0,15,40.46,109.03177694809,38,3,2,2
CC(Cl)Cl,1.9,<rdkit.Chem.rdchem.Mol object at 0x1409968c0>,2,0,0,0,2,0,0,0,0,8,0.0,97.969005488,26,2,0,0
CCC(CS)CS,2.0,<rdkit.Chem.rdchem.Mol object at 0x140996920>,5,0,0,2,0,0,0,0,0,19,0.0,136.038042384,44,2,2,2
CC(C)[PH+](C)C,0.7,<rdkit.Chem.rdchem.Mol object at 0x140996980>,5,0,0,0,0,1,0,0,0,20,0.0,105.08276349808999,38,1,0,0
CC[C@@H](C)CCCl,3.0,<rdkit.Chem.rdchem.Mol object at 0x1409969e0>,6,0,0,0,1,0,0,0,0,20,0.0,120.07057809599999,44,1,0,0
C1C[C-]C[C+]C1,3.4,<rdkit.Chem.rdchem.Mol object at 0x140996a40>,6,0,0,0,0,0,0,0,0,14,0.0,80.062600256,32,0,0,0
COP[I-]O,0.3,<rdkit.Chem.rdchem.Mol object at 0x140996aa0>,1,2,0,0,0,1,0,1,0,10,29.46,206.90773760991,34,4,1,2
[2H][13CH](C([2H])(C([2H])([2H])O)O)O,-1.8,<rdkit.Chem.rdchem.Mol object at 0x140996b00>,3,3,0,0,0,0,0,0,0,14,60.69,97.07580594,38,3,3,3
C1CCO[N]C1,0.3,<rdkit.Chem.rdchem.Mol object at 0x140996b60>,4,1,1,0,0,0,0,0,0,14,23.330000000000002,86.060588876,35,2,0,1
C[C@@H](CSC)O,0.6,<rdkit.Chem.rdchem.Mol object at 0x140996bc0>,4,1,0,1,0,0,0,0,0,16,20.23,106.04523594,38,2,1,2
C(CN)CI,0.7,<rdkit.Chem.rdchem.Mol object at 0x140996c20>,3,0,1,0,0,0,0,1,0,13,26.02,184.970147256,32,2,1,1
CC/C=C\CBr,2.3,<rdkit.Chem.rdchem.Mol object at 0x140996c80>,5,0,0,0,0,0,0,0,1,15,0.0,147.988762388,36,1,0,0
C(C(N)NF)O,-1.6,<rdkit.Chem.rdchem.Mol object at 0x140996ce0>,2,1,2,0,0,0,1,0,0,13,58.28,94.054241064,38,4,3,3
CCCNNI,0.8,<rdkit.Chem.rdchem.Mol object at 0x140996d40>,3,0,2,0,0,0,0,1,0,15,24.06,199.981046288,38,3,2,2
CC(C)(C)O[O-],0.5,<rdkit.Chem.rdchem.Mol object at 0x140996da0>,4,2,0,0,0,0,0,0,0,15,32.29,89.06080310791,38,2,0,2
CC(CO)ON,-0.9,<rdkit.Chem.rdchem.Mol object at 0x140996e00>,3,2,1,0,0,0,0,0,0,15,55.480000000000004,91.063328528,38,3,2,3
CCCCCCNBr,2.6,<rdkit.Chem.rdchem.Mol object at 0x140996e60>,6,0,1,0,0,0,0,0,1,22,12.03,179.030961548,50,2,1,1
CCCCP(C)C,1.2,<rdkit.Chem.rdchem.Mol object at 0x140996ec0>,6,0,0,0,0,1,0,0,0,22,0.0,118.09113710999999,44,1,0,0
C=COI,1.7,<rdkit.Chem.rdchem.Mol object at 0x140996f20>,2,1,0,0,0,0,0,1,0,7,9.23,169.922862716,24,2,0,1
C1NCS[N]1,-0.2,<rdkit.Chem.rdchem.Mol object at 0x140996f80>,2,0,2,1,0,0,0,0,0,10,26.130000000000003,89.01734416,29,3,1,2
[13CH2]1[13CH2][15NH][13CH2][13CH2][15NH]1,-1.5,<rdkit.Chem.rdchem.Mol object at 0x140996fe0>,4,0,2,0,0,0,0,0,0,16,24.06,92.09188748,36,2,2,2
C=COBr,1.8,<rdkit.Chem.rdchem.Mol object at 0x140997040>,2,1,0,0,0,0,0,0,1,7,9.23,121.936726816,24,2,0,1
CSCOC[CH2],1.2,<rdkit.Chem.rdchem.Mol object at 0x1409970a0>,4,1,0,1,0,0,0,0,0,15,9.23,105.037410908,37,2,0,2
C[CH+]C=CCN,0.6,<rdkit.Chem.rdchem.Mol object at 0x140997100>,5,0,1,0,0,0,0,0,0,16,26.02,84.08077574008999,34,1,1,1
CCCOCN,0.1,<rdkit.Chem.rdchem.Mol object at 0x140997160>,4,1,1,0,0,0,0,0,0,17,35.25,89.084063972,38,2,1,2
CCCC(CO)Br,1.6,<rdkit.Chem.rdchem.Mol object at 0x1409971c0>,5,1,0,0,0,0,0,0,1,18,20.23,165.999327072,44,2,1,1
[2H]C([2H])([2H])C([2H])(C)CI,2.8,<rdkit.Chem.rdchem.Mol object at 0x140997220>,4,0,0,0,0,0,0,1,0,14,0.0,188.00000527199998,32,1,0,0
CCC[C+](CC)CC,4.3,<rdkit.Chem.rdchem.Mol object at 0x140997280>,8,0,0,0,0,0,0,0,0,25,0.0,113.13247696408999,48,0,0,0
C(=S)(NN)[S-],0.0,<rdkit.Chem.rdchem.Mol object at 0x1409972e0>,1,0,2,2,0,0,0,0,0,8,38.05,106.97431367591,30,4,2,3
CCOCCCCN,0.6,<rdkit.Chem.rdchem.Mol object at 0x140997340>,6,1,1,0,0,0,0,0,0,23,35.25,117.1153641,50,2,1,2
[2H]C([2H])(C(C([2H])([2H])O)N)O,-2.0,<rdkit.Chem.rdchem.Mol object at 0x1409973a0>,3,2,1,0,0,0,0,0,0,15,66.48,95.08843551199999,38,3,3,3
C1C[CH]SC1,1.4,<rdkit.Chem.rdchem.Mol object at 0x140997400>,4,0,0,1,0,0,0,0,0,12,0.0,87.026846224,29,1,0,1
[CH]Br,1.0,<rdkit.Chem.rdchem.Mol object at 0x140997460>,1,0,0,0,0,0,0,0,1,3,0.0,91.926162132,12,1,0,0
C[I-]SCO,1.6,<rdkit.Chem.rdchem.Mol object at 0x1409974c0>,2,1,0,1,0,0,0,1,0,11,20.23,204.91895739191,34,3,1,2
CN(CN)CP,-0.8,<rdkit.Chem.rdchem.Mol object at 0x140997520>,3,0,2,0,0,1,0,0,0,17,29.259999999999998,106.06598498199999,38,3,1,2
CC(C(O)I)I,1.9,<rdkit.Chem.rdchem.Mol object at 0x140997580>,3,1,0,0,0,0,0,2,0,12,20.23,311.8508108120002,38,3,1,1
CCCOC=N,1.1,<rdkit.Chem.rdchem.Mol object at 0x1409975e0>,4,1,1,0,0,0,0,0,0,15,33.08,87.068413908,36,2,1,2
C(O)SSCO,-0.3,<rdkit.Chem.rdchem.Mol object at 0x140997640>,2,2,0,2,0,0,0,0,0,12,40.46,125.980921432,38,4,2,4
CCP(CC)N,-0.1,<rdkit.Chem.rdchem.Mol object at 0x1409976a0>,4,0,1,0,0,1,0,0,0,18,26.02,105.07073601399999,38,2,1,1
C[C@@H](CO)NC,-0.5,<rdkit.Chem.rdchem.Mol object at 0x140997700>,4,1,1,0,0,0,0,0,0,17,32.26,89.084063972,38,2,2,2
CCC[CH]CCCN,2.6,<rdkit.Chem.rdchem.Mol object at 0x140997760>,7,0,1,0,0,0,0,0,0,24,26.02,114.12827451199999,49,1,1,1
C1CSPO1,0.2,<rdkit.Chem.rdchem.Mol object at 0x1409977c0>,2,1,0,1,0,1,0,0,0,10,9.23,107.97987241,30,3,0,2
C[CH]C(Cl)Br,2.6,<rdkit.Chem.rdchem.Mol object at 0x140997820>,3,0,0,0,1,0,0,0,1,10,0.0,154.92631494,31,2,0,0
C=CPP,0.3,<rdkit.Chem.rdchem.Mol object at 0x140997880>,2,0,0,0,0,2,0,0,0,10,0.0,91.994473452,24,2,0,0
CN(CCO)O,-0.9,<rdkit.Chem.rdchem.Mol object at 0x1409978e0>,3,2,1,0,0,0,0,0,0,15,43.7,91.063328528,38,3,2,3
CCNN[C@@H](C)N,-0.5,<rdkit.Chem.rdchem.Mol object at 0x140997940>,4,0,3,0,0,0,0,0,0,20,50.08,103.11094741599999,44,3,3,3
